Keys,IV,PlainText,CipherText,CipherTextLength,PlainTextLength,Key1,Key2,Key3
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9B0B0DEB377013F064,000000000000000000000000000000000000000000000000,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9BE101914BFA84919C,000000000000000000000000000000000000000000000001,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9BEC2B3E7653218BF2,000000000000000000000000000000000000000000000002,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9B940003B0E14E99AE,000000000000000000000000000000000000000000000004,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9B16B565CF59BDA6D9,000000000000000000000000000000000000000000000008,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9B36C15501B14121F8,000000000000000000000000000000000000000000000010,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9BE250DCDBBF998DAE,000000000000000000000000000000000000000000000020,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9BAE18CB50F98C4876,000000000000000000000000000000000000000000000040,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9BCD5951389E53B1EE,000000000000000000000000000000000000000000000080,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
01010101010101010707070707070707FEFEFEFEFEFEFEFE,0000000000000000,A1A7419DDAB95ACEF4F214C88FEC0F9B767B7DD7CCAA0854,000000000000000000000000000000000000000000000100,192,192,0101010101010101,0707070707070707,FEFEFEFEFEFEFEFE
