Keys,IV,PlainText,CipherText,CipherTextLength,PlainTextLength,Key1,Key2,Key3
104691348998013101010101010101011007103489988020,0000000000000000,000000000000000000000000000000000000000000000000,5447679A1F34C19B33462050D8F4DFEA46805F0EB287B3A5,192,192,1046913489980131,0101010101010101,1007103489988020
10071034C898012001010101010101011046103489988020,0000000000000000,000000000000000000000000000000000000000000000000,63A8DA2DABB06BBCBA6BD61F9349735370638D1B6D21DF88,192,192,10071034C8980120,0101010101010101,1046103489988020
108691151919010101010101010101011086911519580101,0000000000000000,000000000000000000000000000000000000000000000000,B039A304B63042B67A9B7F66B040D2B12CFE0BFB3EF9AB8A,192,192,1086911519190101,0101010101010101,1086911519580101
5107B0151958010101010101010101011007B01519190101,0000000000000000,000000000000000000000000000000000000000000000000,EBF972F6B6CE1D62E760741A4CB6F6445FCE995DB78DCC5D,192,192,5107B01519580101,0101010101010101,1007B01519190101
310791549808010101010101010101013107919498080101,0000000000000000,000000000000000000000000000000000000000000000000,7DC529985EFFCE872002E6548DAFF9843F911BD2332D7A64,192,192,3107915498080101,0101010101010101,3107919498080101
10079115B908014001010101010101013107911598080140,0000000000000000,000000000000000000000000000000000000000000000000,26548CCED5E9AB3C56F2E86A11A05A06F343C19CEAE35680,192,192,10079115B9080140,0101010101010101,3107911598080140
1007D0158998010101010101010101019107911589980101,0000000000000000,000000000000000000000000000000000000000000000000,E21D969FA85E0A74B3C74FAAAD93EBFFD097F2E177B88265,192,192,1007D01589980101,0101010101010101,9107911589980101
9107D0158919010101010101010101011007D01598980120,0000000000000000,000000000000000000000000000000000000000000000000,5548F9A1C7AFF525CE3F6E7201D68E2E12FA607E6BE5B033,192,192,9107D01589190101,0101010101010101,1007D01598980120
100794049819010101010101010101010107910491190401,0000000000000000,000000000000000000000000000000000000000000000000,6D8E0C7F2B7D458A93FA6A0119CA2E500E13DF93095A53E3,192,192,1007940498190101,0101010101010101,0107910491190401
010791049119010101010101010101010107940491190401,0000000000000000,000000000000000000000000000000000000000000000000,EBFE64565305E58BA707C33D12C4F1EE86251ECFE6AF1615,192,192,0107910491190101,0101010101010101,0107940491190401
19079210981A010101010101010101011007911998190801,0000000000000000,000000000000000000000000000000000000000000000000,8B1F20F7CB8D6BEE8DF4813EE565E25F092AAA91D46E30FF,192,192,19079210981A0101,0101010101010101,1007911998190801
10079119981A080101010101010101011007921098190101,0000000000000000,000000000000000000000000000000000000000000000000,9246ECF6AD3851007E223C825E4ACE5C116203DA85C7E391,192,192,10079119981A0801,0101010101010101,1007921098190101
100791159819010B01010101010101011004801598190101,0000000000000000,000000000000000000000000000000000000000000000000,4D9B5A10210BB24B02D206BF104045DDAFA055611E205AC5,192,192,100791159819010B,0101010101010101,1004801598190101
100480159819010201010101010101011004801598190108,0000000000000000,000000000000000000000000000000000000000000000000,B76EBA7016CDC42EF9443B0EABFAB6FBAF1B1F079C5650C5,192,192,1004801598190102,0101010101010101,1004801598190108
100291159810010401010101010101011002911598190104,0000000000000000,000000000000000000000000000000000000000000000000,5AE9633FC6CFC4A50D663D66684EFAA44C6760E4270556F0,192,192,1002911598100104,0101010101010101,1002911598190104
100291159810020101010101010101011002911698100101,0000000000000000,000000000000000000000000000000000000000000000000,6AF1D0B6E2C60C2F56052659AFD4BFA53A592F7140124F55,192,192,1002911598100201,0101010101010101,1002911698100101
